"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",22.7042568671642,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",20.6335798087031,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",19.4555358931342,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.7150603640546,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",18.9106714885412,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",18.3061203554003,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2020",16.742471554166,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2021",16.6389584543313,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2022",17.9569352410753,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2023",18.4874017922009,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2024",18.3164803815809,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2025",18.141724114592,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2026",17.9803355139868,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2027",17.8453382608762,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2028",17.4879485187109,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1990",0.0000045770804106768,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1991",14.451153680255,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1992",15.183231815627,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1993",15.0101810936426,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1994",15.5726281530618,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1995",15.579968467771,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1996",14.4125871773731,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1997",14.79336376575,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1998",15.1930091419549,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1999",15.1321970331813,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2000",15.1397842423598,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2001",15.2392812716983,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2002",15.9951414412316,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2003",17.4484087066784,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2004",17.7354781381531,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2005",18.6527429357214,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2006",17.9874795706693,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2007",19.7075878536076,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2008",19.3072432156824,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2009",19.8982542283376,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2010",20.1962060625141,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2011",19.674788633119,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2012",20.6098701021114,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2013",20.0904573432655,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2014",20.1128805681086,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2015",22.0227668810292,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2016",21.488653016466,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2017",22.0096243190494,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2018",21.9064436513338,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2019",22.2856265964878,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2020",22.6401251608253,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2021",22.6273851976387,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2022",22.5951865854499,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2023",22.6072804059422,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2024",22.671882433657,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2025",22.7536008534472,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2026",22.8593439409623,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2027",22.932059091289,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2028",23.0346770872392,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1990",21.9466851637049,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1991",22.2432282106736,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1992",22.3287102068472,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1993",23.69323057062,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1994",24.3577748547104,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1995",24.1051555307281,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1996",24.5040820421324,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1997",25.6785320963409,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1998",27.5269804921445,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","1999",27.8894770293985,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2000",29.5657200392514,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2001",29.1132323981281,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2002",32.3703094760919,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2003",31.2912986982974,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2004",32.6971727363593,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2005",33.9906713766057,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2006",35.1056450156574,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2007",34.7189601276843,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2008",33.2447542071116,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2009",33.5966590127255,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2010",37.7034801230232,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2011",39.6017036529553,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2012",40.4637372055174,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2013",40.3420558023896,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2014",41.0586162990676,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2015",42.2694495127556,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2016",44.7812173897473,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2017",43.5651252075566,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2018",44.1278736953786,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2019",44.7674041728219,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2020",44.2231489859064,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2021",44.3985684533732,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2022",44.5085412888414,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2023",44.5113703338862,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2024",44.5752272521805,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2025",44.6257751576197,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2026",44.6573711837352,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2027",44.7094008776109,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2028",44.7809391110461,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1990",18.9231412638997,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1991",19.3225513961021,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1992",17.8750444656475,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1993",17.4067586911623,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1994",18.4173913195502,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1995",15.0453271746133,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1996",14.7286437418333,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1997",14.9969643164229,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1998",15.4116961911209,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","1999",15.1887681925553,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2000",16.3041118008929,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2001",14.9199908252486,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2002",13.7269041687755,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2003",12.1079722524254,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2004",11.9430947286726,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2005",11.9563375009406,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2006",12.3418217574498,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2007",12.5684247836314,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2008",10.9866568441466,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2009",10.339179039516,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2010",8.98722076021715,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2011",8.06685727090354,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2012",8.75431627080873,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2013",8.76198894034308,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2014",8.15850963925027,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2015",9.39797310500404,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2016",8.55472675043961,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2017",7.77405835391671,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2018",7.28234657114472,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2019",7.20902767405751,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2020",7.22294490055437,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2021",7.31651651798697,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2022",7.2516502999216,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2023",7.20039143386479,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2024",7.1514134478314,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2025",7.14450823231568,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2026",7.1321930942631,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2027",7.12351920221028,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2028",7.14653313299855,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1990",24.8649126772851,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1991",24.3202585909034,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1992",23.6959828215196,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1993",22.6752185367554,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1994",23.0936308274445,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1995",23.1770330063618,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1996",22.9203985047396,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1997",22.9821630831534,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1998",23.258232931168,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1999",23.6815793348395,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2000",23.2983588862398,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2001",22.3947807188149,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2002",22.3128746441393,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2003",23.5508928441005,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2004",22.6155635328181,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2005",21.9099736777162,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2006",21.6391576265697,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2007",22.0857172160288,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2008",21.430377463452,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2009",20.4074139938729,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2010",20.2925987632881,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2011",19.8042663659251,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2012",20.024611823744,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2013",19.8356049177582,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2014",19.2093047305403,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2015",17.6707152205321,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2016",18.0531748257128,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.0733324180365,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2018",17.9661537051835,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2019",17.6454236226423,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2020",17.3695920800645,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2021",17.2589600615438,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2022",17.027686380353,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2023",16.9212633279307,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2024",16.8842313717654,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2025",16.8072066664337,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2026",16.7408281619101,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2027",16.6724140253973,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2028",16.6729042973061,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1990",20.4840765863037,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1991",20.2535039358371,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1992",22.2164283487203,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1993",21.6254245932342,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1994",22.2403657690083,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1995",21.7698468735485,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1996",20.364226248131,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1997",19.9272945492365,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1998",22.4781856293699,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","1999",23.5515383850546,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2000",22.4688683769235,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2001",22.6989402519255,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2002",21.8518841530967,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2003",19.7237063487742,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2004",20.917469573858,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2005",18.078194981538,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2006",18.3803008214031,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2007",19.6414916299646,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2008",18.663491510198,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2009",18.4577708601147,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2010",17.2696746036457,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2011",16.741150298353,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2012",17.445309743743,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2013",16.3449431925435,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2014",16.1199354759851,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2015",18.0324897205705,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2016",16.2477304142939,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2017",16.005627081736,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2018",16.0446999235398,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2019",15.7406044106492,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2020",15.8758695711887,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2021",15.7906212504344,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2022",15.6981494524792,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2023",15.6900512104963,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2024",15.6605655163461,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2025",15.6142917568797,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2026",15.5801637340427,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2027",15.5594766564412,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2028",15.4713986811392,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1990",24.286467918598,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1991",24.2590248406414,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1992",24.2856085836033,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1993",24.8948037920815,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1994",26.4931089814481,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1995",26.1754395906209,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1996",25.9828740753704,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1997",26.4719597901893,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1998",27.0657422092433,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","1999",28.2540487906239,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2000",29.5643113709878,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2001",30.7479714828802,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2002",31.0701783209283,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2003",31.1981050598325,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2004",31.4236565005239,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2005",31.5672993974848,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2006",31.8224212764749,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2007",31.9241710007156,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2008",32.0175211710693,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2009",31.6379655050657,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2010",31.3216124661677,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2011",30.3277188962437,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2012",30.0834158041217,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2013",30.3883657588517,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2014",31.2147146300877,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2015",32.6267255181398,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2016",33.2734139245195,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",33.5540689461262,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2018",33.788648531206,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2019",33.8710827065993,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2020",33.7170553108924,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2021",34.0178764319652,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2022",34.0017542642616,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2023",34.3143184604227,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2024",34.4276806303042,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2025",34.5394224631175,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2026",34.5240722811606,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2027",34.6553822463434,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2028",34.7519460017459,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1990",0.729611146339032,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1991",0.76344406478736,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1992",0.740354737733998,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1993",0.751539837812307,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1994",0.722467862469574,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1995",0.712582201892235,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1996",0.663371832925463,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1997",0.651252058729599,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1998",0.72929916740379,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","1999",0.753036558489551,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2000",0.828874159110949,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2001",0.910218595925341,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2002",0.909478910384696,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2003",0.951570526264136,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2004",0.972840537278036,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2005",0.98199044969676,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2006",1.06531393638746,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2007",1.0697565337203,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2008",1.02345608747647,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2009",1.01204673086409,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2010",0.952407275577731,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2011",0.930740317317813,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2012",0.846953893911312,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2013",0.877868485465883,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2014",0.922149665066954,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2015",0.915993172573386,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2016",0.930445125908857,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.968804478153911,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2018",0.950541935923681,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2019",0.889937080556491,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2020",0.929245535524722,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2021",0.921766577861284,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2022",0.92468666177125,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2023",0.922040819551859,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2024",0.916519665088748,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2025",0.915175913711792,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2026",0.91233802184213,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2027",0.911058456130527,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2028",0.908057692949291,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1990",5.99981049758111,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1991",6.40034475744222,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1992",6.64958157984353,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1993",7.28512494407701,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1994",8.0025961427879,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1995",8.40772424926212,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1996",7.96539156068326,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1997",8.0719437110475,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1998",8.18581340517315,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1999",8.17300630274938,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2000",8.61750308745279,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2001",7.02935621571887,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2002",7.12782920618426,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2003",6.97939772430218,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2004",6.96167838065768,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2005",6.23389012043696,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2006",6.18707736424801,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2007",6.37948927083143,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2008",6.38499514914402,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2009",6.49115778920567,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2010",6.70621944185909,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2011",6.72186598167755,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2012",6.73075144823824,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2013",6.72699343137075,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2014",6.68916863310328,
